neighbourhood_cleansed,month,avg_monthly_price,listing_count
Bedford-Stuyvesant,3,3795.33,1215.0
Bedford-Stuyvesant,4,5785.27,1483.0
Bedford-Stuyvesant,5,8166.83,1409.0
Bedford-Stuyvesant,6,8332.82,1378.0
Bedford-Stuyvesant,7,6128.73,1357.0
Bedford-Stuyvesant,8,8227.74,1379.0
Bedford-Stuyvesant,9,8221.79,1374.0
Bedford-Stuyvesant,10,3980.85,1243.0
Bedford-Stuyvesant,11,3883.85,1343.0
Bedford-Stuyvesant,12,3797.51,1331.0
Belle Harbor,1,5766.0,5.0
Belle Harbor,2,5766.0,5.0
Belle Harbor,3,6216.0,5.0
Belle Harbor,4,5844.0,5.0
Belle Harbor,5,5710.0,6.0
Belle Harbor,6,6192.0,5.0
Belle Harbor,7,6410.0,6.0
Belle Harbor,8,6485.0,6.0
Belle Harbor,9,6460.0,6.0
Belle Harbor,10,5940.0,5.0
Belle Harbor,11,5940.0,5.0
Belle Harbor,12,5886.0,5.0
Bellerose,1,4086.0,10.0
Bellerose,2,3984.0,10.0
Bellerose,3,3798.0,10.0
Bellerose,4,4413.0,10.0
Bellerose,5,4407.0,10.0
Bellerose,6,4612.5,8.0
Bellerose,7,4593.75,8.0
Bellerose,8,4383.0,10.0
Bellerose,9,4491.0,10.0
Bellerose,10,4224.55,11.0
Bellerose,11,4086.0,10.0
Bellerose,12,3623.33,9.0
Belmont,1,2997.6,25.0
Belmont,2,3040.43,23.0
Belmont,3,3107.14,21.0
Belmont,4,2959.2,25.0
Belmont,5,3248.57,21.0
Belmont,6,3372.63,19.0
Belmont,7,3530.62,16.0
Belmont,8,3648.95,19.0
Belmont,9,2958.75,16.0
Belmont,10,3396.0,20.0
Belmont,11,3234.78,23.0
Belmont,12,3128.75,24.0
Bensonhurst,1,3400.34,29.0
Bensonhurst,2,3421.03,29.0
Bensonhurst,3,2350.0,18.0
Bensonhurst,4,3541.76,34.0
Bensonhurst,5,3553.45,29.0
Bensonhurst,6,3643.45,29.0
Bensonhurst,7,3684.83,29.0
Bensonhurst,8,3453.0,30.0
Bensonhurst,9,3506.13,31.0
Bensonhurst,10,3923.33,27.0
Bensonhurst,11,3833.79,29.0
Bensonhurst,12,3840.0,31.0
Bergen Beach,1,5877.0,10.0
Bergen Beach,2,5982.0,10.0
Bergen Beach,3,5623.64,11.0
Bergen Beach,4,5350.91,11.0
Bergen Beach,5,5203.64,11.0
Bergen Beach,6,5287.5,12.0
Bergen Beach,7,5700.0,11.0
Bergen Beach,8,5243.08,13.0
Bergen Beach,9,5243.08,13.0
Bergen Beach,10,5312.5,12.0
Bergen Beach,11,5522.73,11.0
Bergen Beach,12,5680.91,11.0
Bloomfield,1,,
Bloomfield,2,,
Bloomfield,3,,
Bloomfield,4,,
Bloomfield,5,,
Bloomfield,6,,
Bloomfield,7,,
Bloomfield,8,,
Bloomfield,9,,
Bloomfield,10,,
Bloomfield,11,,
Bloomfield,12,,
Boerum Hill,1,8155.0,48.0
Boerum Hill,2,8490.61,49.0
Boerum Hill,3,9129.23,52.0
Boerum Hill,4,7992.31,39.0
Boerum Hill,5,8043.49,43.0
Boerum Hill,6,8274.55,44.0
Boerum Hill,7,8167.67,43.0
Boerum Hill,8,8776.05,43.0
Boerum Hill,9,8737.14,42.0
Boerum Hill,10,8855.38,39.0
Boerum Hill,11,7789.02,41.0
Boerum Hill,12,8268.12,48.0
Borough Park,1,3746.13,31.0
Borough Park,2,2468.18,33.0
Borough Park,3,2140.0,24.0
Borough Park,4,2674.86,37.0
Borough Park,5,2741.54,39.0
Borough Park,6,2593.24,34.0
Borough Park,7,2573.44,32.0
Borough Park,8,2518.18,33.0
Borough Park,9,2452.0,30.0
Borough Park,10,2485.31,32.0
Borough Park,11,2612.81,32.0
Borough Park,12,2460.0,30.0
Breezy Point,1,4500.0,3.0
Breezy Point,2,4500.0,4.0
Breezy Point,3,4162.5,4.0
Breezy Point,4,4500.0,4.0
Breezy Point,5,4500.0,4.0
Breezy Point,6,4500.0,4.0
Breezy Point,7,4500.0,4.0
Breezy Point,8,4500.0,4.0
Breezy Point,9,4500.0,4.0
Breezy Point,10,4500.0,4.0
Breezy Point,11,4500.0,4.0
Breezy Point,12,4500.0,4.0
Briarwood,1,4165.26,19.0
Briarwood,2,2273.57,14.0
Briarwood,3,8243.08,26.0
Briarwood,4,2629.5,20.0
Briarwood,5,8183.57,28.0
Briarwood,6,8932.5,24.0
Briarwood,7,8800.38,26.0
Briarwood,8,8734.62,26.0
Briarwood,9,9132.0,20.0
Briarwood,10,3947.65,17.0
Briarwood,11,8605.38,26.0
Briarwood,12,8394.0,25.0
Brighton Beach,1,3777.5,36.0
Brighton Beach,2,3522.31,39.0
Brighton Beach,3,3686.92,39.0
Brighton Beach,4,3899.21,38.0
Brighton Beach,5,3747.57,37.0
Brighton Beach,6,4042.73,33.0
Brighton Beach,7,3930.83,36.0
Brighton Beach,8,3901.54,39.0
Brighton Beach,9,3790.54,37.0
Brighton Beach,10,3670.26,38.0
Brighton Beach,11,3653.33,36.0
Brighton Beach,12,3626.15,39.0
Bronxdale,1,1878.0,10.0
Bronxdale,2,1900.91,11.0
Bronxdale,3,2187.27,11.0
Bronxdale,4,2125.38,13.0
Bronxdale,5,1882.5,12.0
Bronxdale,6,1950.0,12.0
Bronxdale,7,2094.0,10.0
Bronxdale,8,1870.91,11.0
Bronxdale,9,1936.36,11.0
Bronxdale,10,1898.18,11.0
Bronxdale,11,1971.82,11.0
Bronxdale,12,1950.0,12.0
Brooklyn Heights,1,6872.25,40.0
Brooklyn Heights,2,7267.33,45.0
Brooklyn Heights,3,7781.33,45.0
Brooklyn Heights,4,6785.85,41.0
Brooklyn Heights,5,8000.43,47.0
Brooklyn Heights,6,8136.98,43.0
Brooklyn Heights,7,8595.0,42.0
Brooklyn Heights,8,7988.94,47.0
Brooklyn Heights,9,8272.5,44.0
Brooklyn Heights,10,7845.37,41.0
Brooklyn Heights,11,7746.15,39.0
Brooklyn Heights,12,6993.19,47.0
Brownsville,1,4121.05,38.0
Brownsville,2,3610.0,42.0
Brownsville,3,3274.74,38.0
Brownsville,4,2938.26,69.0
Brownsville,5,2862.73,66.0
Brownsville,6,2855.24,63.0
Brownsville,7,2939.49,59.0
Brownsville,8,3033.56,59.0
Brownsville,9,3124.35,62.0
Brownsville,10,3070.91,55.0
Brownsville,11,3109.81,53.0
Brownsville,12,3346.88,48.0
Bull's Head,1,5730.0,4.0
Bull's Head,2,5712.0,5.0
Bull's Head,3,5616.0,5.0
Bull's Head,4,4530.0,7.0
Bull's Head,5,4998.0,5.0
Bull's Head,6,4915.71,7.0
Bull's Head,7,5330.0,6.0
Bull's Head,8,6042.0,5.0
Bull's Head,9,5650.0,6.0
Bull's Head,10,5360.0,6.0
Bull's Head,11,5712.0,5.0
Bull's Head,12,5712.0,5.0
Bushwick,1,3523.53,672.0
Bushwick,2,3410.4,669.0
Bushwick,3,3551.23,609.0
Bushwick,4,3466.17,772.0
Bushwick,5,3599.34,729.0
Bushwick,6,3640.92,725.0
Bushwick,7,3771.96,638.0
Bushwick,8,3567.36,705.0
Bushwick,9,3335.5,676.0
Bushwick,10,3601.65,637.0
Bushwick,11,3577.51,671.0
Bushwick,12,3405.09,662.0
Cambria Heights,1,3784.29,35.0
Cambria Heights,2,3634.74,38.0
Cambria Heights,3,3652.5,20.0
Cambria Heights,4,3401.14,35.0
Cambria Heights,5,3579.43,35.0
Cambria Heights,6,3733.24,34.0
Cambria Heights,7,3695.0,36.0
Cambria Heights,8,3551.14,35.0
Cambria Heights,9,3711.32,38.0
Cambria Heights,10,3549.47,38.0
Cambria Heights,11,3053.08,26.0
Cambria Heights,12,3532.31,39.0
Canarsie,1,4464.19,124.0
Canarsie,2,5699.75,122.0
Canarsie,3,5600.98,123.0
Canarsie,4,3840.64,140.0
Canarsie,5,3924.09,132.0
Canarsie,6,3961.49,121.0
Canarsie,7,3940.16,127.0
Canarsie,8,3899.05,126.0
Canarsie,9,3962.42,124.0
Canarsie,10,3952.2,123.0
Canarsie,11,4001.56,122.0
Canarsie,12,4076.25,128.0
Carroll Gardens,1,8670.55,55.0
Carroll Gardens,2,8319.5,60.0
Carroll Gardens,3,8212.62,61.0
Carroll Gardens,4,9344.8,75.0
Carroll Gardens,5,9378.33,72.0
Carroll Gardens,6,9439.7,67.0
Carroll Gardens,7,9651.74,69.0
Carroll Gardens,8,9167.83,69.0
Carroll Gardens,9,9841.38,65.0
Carroll Gardens,10,9046.88,64.0
Carroll Gardens,11,8910.49,61.0
Carroll Gardens,12,8834.75,59.0
Castle Hill,1,3320.0,3.0
Castle Hill,2,4200.0,1.0
Castle Hill,3,3230.0,3.0
Castle Hill,4,13295.0,6.0
Castle Hill,5,13175.0,6.0
Castle Hill,6,13175.0,6.0
Castle Hill,7,12162.0,5.0
Castle Hill,8,11352.0,5.0
Castle Hill,9,13875.0,4.0
Castle Hill,10,6690.0,4.0
Castle Hill,11,3320.0,3.0
Castle Hill,12,3320.0,3.0
Castleton Corners,1,3990.0,3.0
Castleton Corners,2,3990.0,3.0
Castleton Corners,3,3270.0,3.0
Castleton Corners,4,3735.0,4.0
Castleton Corners,5,3735.0,4.0
Castleton Corners,6,3735.0,4.0
Castleton Corners,7,3735.0,4.0
Castleton Corners,8,3735.0,4.0
Castleton Corners,9,3735.0,4.0
Castleton Corners,10,3735.0,4.0
Castleton Corners,11,3735.0,4.0
Castleton Corners,12,3730.0,3.0
Charleston,1,,
Charleston,2,,
Charleston,3,,
Charleston,4,,
Charleston,5,,
Charleston,6,,
Charleston,7,,
Charleston,8,,
Charleston,9,,
Charleston,10,,
Charleston,11,,
Charleston,12,,
Chelsea,1,8070.82,439.0
Chelsea,2,8515.76,453.0
Chelsea,3,8720.71,407.0
Chelsea,4,9100.03,380.0
Chelsea,5,9381.42,381.0
Chelsea,6,9396.26,412.0
Chelsea,7,9619.61,410.0
Chelsea,8,10099.27,411.0
Chelsea,9,9198.2,394.0
Chelsea,10,9301.15,393.0
Chelsea,11,8919.5,404.0
Chelsea,12,8534.36,420.0
"Chelsea, Staten Island",1,2100.0,1.0
"Chelsea, Staten Island",2,2100.0,1.0
"Chelsea, Staten Island",3,2100.0,1.0
"Chelsea, Staten Island",4,2100.0,1.0
"Chelsea, Staten Island",5,2100.0,1.0
"Chelsea, Staten Island",6,2100.0,1.0
"Chelsea, Staten Island",7,2100.0,1.0
"Chelsea, Staten Island",8,2100.0,1.0
"Chelsea, Staten Island",9,2100.0,1.0
"Chelsea, Staten Island",10,2100.0,1.0
"Chelsea, Staten Island",11,2100.0,1.0
"Chelsea, Staten Island",12,2100.0,1.0
Chinatown,1,6387.87,127.0
Chinatown,2,6336.15,122.0
Chinatown,3,6346.39,119.0
Chinatown,4,6630.26,116.0
Chinatown,5,6349.76,123.0
Chinatown,6,6196.96,115.0
Chinatown,7,6908.23,124.0
